"location_id","national","region","district","subcounty","facility","location_name","deaths","cases","year","week","percent_death"
"loYUJYilHdx","MOH - Uganda","Ankole","Buhweju District","Rwengwe Subcounty","Kyeyare HC II","Kyeyare HC II",3,3,2022,45,100
"los6g36at8x","MOH - Uganda","South Central","Lwengo District","Lwengo Subcounty","Birimuye HC II","Birimuye HC II",1,1,2022,22,100
"m5bcdRygx9D","MOH - Uganda","Teso","Kapelebyong District","Acowa Subcounty","Angerepo HC II","Angerepo HC II",134,134,2022,50,100
"mH1WkMQFPY1","MOH - Uganda","North Central","Mukono District","Kisoga Town Council","Kisoga Mirembe Maria HC II","Kisoga Mirembe Maria HC II",16,16,2022,27,100
"nLcJPspov8c","MOH - Uganda","Ankole","Rubirizi District","Katerera Town Council","Katerera HC III","Katerera HC III",72,72,2022,24,100
"nRnQig5xiKQ","MOH - Uganda","Ankole","Mbarara District","Rubindi Subcounty","St. Judie Medical Center Clinic","St. Judie Medical Center Clinic",9,1,2022,35,900
"prOqXqNPpWj","MOH - Uganda","Busoga","Iganga District","Bulamagi Subcounty","Kasolo HC II","Kasolo HC II",47,47,2022,3,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",4,4,2022,1,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",3,3,2022,10,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,12,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,14,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",4,4,2022,16,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,17,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,18,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,2,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",3,3,2022,23,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,24,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,25,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,3,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,9,100
"q0dM3TKAnQB","MOH - Uganda","North Central","Luwero District","Zirobwe Subcounty","Nakigoza HC II","Nakigoza HC II",40,40,2022,2,100
"qGM0ucFnYBQ","MOH - Uganda","Busoga","Jinja District","Kakira Town Council","Wairaka HC II","Wairaka HC II",47,47,2022,50,100
"qbOt8Nswoff","MOH - Uganda","Bukedi","Tororo District","Rubongi Subcounty","Panyangasi HC III","Panyangasi HC III",151,151,2022,25,100
"qwX7PRDoK0Z","MOH - Uganda","Bunyoro","Kakumiro District","Igayaza Town Council","Kagame HC III","Kagame HC III",10,10,2022,50,100
"riFZJMWkiZR","MOH - Uganda","Lango","Lira City","Central Division (Lira MC)","Lira Medical Centre Ltd HC III","Lira Medical Centre Ltd HC III",9,9,2022,26,100
"sCyAs9yytOk","MOH - Uganda","Busoga","Luuka District","Bukanga Subcounty","Suubi HC III","Suubi HC III",18,18,2022,47,100
"sCyAs9yytOk","MOH - Uganda","Busoga","Luuka District","Bukanga Subcounty","Suubi HC III","Suubi HC III",51,51,2022,50,100
"xTTc0XQndvv","MOH - Uganda","Ankole","Ibanda District","Kijongo Subcounty","Birongo HC II","Birongo HC II",75,75,2022,34,100
"xWhC0f1NxE0","MOH - Uganda","Teso","Kumi District","Mukongoro Subcounty","Mukongoro COU HC II","Mukongoro COU HC II",86,86,2022,16,100
"yyNktXIIvgn","MOH - Uganda","Kigezi","Rukungiri District","Bwambara Subcounty","Rwenshama (GOVT) HC III","Rwenshama (GOVT) HC III",6767,11,2022,41,61518.1818181818
"zF8a3ecq3qd","MOH - Uganda","Kigezi","Rukiga District","Bukinda Subcounty","Karorwa HC II","Karorwa HC II",10,3,2022,33,333.333333333333
