"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"39","Ibanda District","2022W40","Ankole",67,70.2,4962,1,1589,3126,40817,2303607,2897,1561,203,52
"40","Iganga District","2022W40","Busoga",57,100,9521,NA,4498,8553,154463,885384,8109,4452,574,213
"41","Isingiro District","2022W40","Ankole",80,94.4,10541,NA,1709,5902,75017,921631,5647,1836,245,93
"42","Jinja City","2022W40","Busoga",65,64.4,4382,NA,694,2011,23364,72878,1493,491,535,119
"43","Jinja District","2022W40","Busoga",43,57.5,2762,NA,1077,1947,19892,34512,1630,973,309,85
"44","Kaabong District","2022W40","Karamoja",27,100,2676,NA,1070,2295,101000,202310,2232,1073,63,49
"45","Kabale District","2022W40","Kigezi",66,98.3,6871,NA,96,1204,16260,101746,932,90,219,14
"46","Kabarole District","2022W40","Tooro",34,96.9,3774,NA,1093,1859,19771,148600,1642,976,184,82
"47","Kaberamaido District","2022W40","Teso",16,93.8,4272,NA,2271,3822,18273,549398,3428,2203,404,162
"48","Kagadi District","2022W40","Bunyoro",40,78.9,3877,1,1455,3039,27330,400712,2891,1923,114,79
"49","Kakumiro District","2022W40","Bunyoro",43,85.7,3551,NA,1223,2626,87492,1053772,2308,1451,278,146
"50","Kalaki District","2022W40","Teso",12,100,3496,NA,1872,2928,22005,204986,2688,2022,223,180
"51","Kalangala District","2022W40","South Central",24,100,1688,NA,102,415,8671,18686,199,61,159,143
"52","Kaliro District","2022W40","Busoga",35,74.1,3339,NA,2032,2724,15370,214616,2259,1578,489,368
"53","Kalungu District","2022W40","South Central",45,69.4,3282,NA,788,1541,4012,91016,603,338,896,471
"54","Kampala District","2022W40","Kampala",1797,89.6,63341,4,3726,14328,69993,516454,7012,1216,8466,1451
"55","Kamuli District","2022W40","Busoga",74,80,8269,1,3692,4939,60777,775172,3986,2562,875,359
"56","Kamwenge District","2022W40","Tooro",41,94.3,7873,2,3768,5705,122606,7502302,5424,3699,167,61
"57","Kanungu District","2022W40","Kigezi",58,92.7,6496,NA,1562,3426,37970,571677,3103,1539,278,103
"58","Kapchorwa District","2022W40","Bugisu",36,63,1645,NA,105,462,3065,56471,293,77,106,21
"59","Kapelebyong District","2022W40","Teso",14,92.9,2538,NA,1489,2047,90600,2073216,1995,1370,55,13
"60","Karenga District","2022W40","Karamoja",10,100,1403,NA,523,1312,28644,560192,1324,665,3,1
"61","Kasese District","2022W40","Tooro",140,87.9,21164,1,4478,10572,45892,3114577,8674,4518,1847,792
"62","Kassanda District","2022W40","North Central",35,82.9,3079,NA,1332,2288,16982,288598,1732,960,552,350
"63","Katakwi District","2022W40","Teso",29,85.2,6419,NA,2439,5329,14310,604440,4819,3347,484,275
"64","Kayunga District","2022W40","North Central",90,82.5,7521,NA,1667,3660,48980,198903,2417,1134,920,398
"65","Kazo District","2022W40","Ankole",35,93.3,2951,NA,1208,1969,38237,768835,1887,913,121,86
"66","Kibaale District","2022W40","Bunyoro",30,100,2391,NA,891,1479,32066,406284,1253,697,199,84
"67","Kiboga District","2022W40","North Central",48,89.4,4562,NA,1107,1964,14036,593869,1218,751,718,275
"68","Kibuku District","2022W40","Bukedi",19,100,7926,NA,5170,7132,193974,1961090,7013,5123,76,47
"69","Kikuube District","2022W40","Bunyoro",29,69,3802,NA,1692,2762,26777,482220,2114,1107,625,431
"70","Kiruhura District","2022W40","Ankole",29,100,3124,NA,781,1961,40181,230902,1913,827,50,21
"71","Kiryandongo District","2022W40","Bunyoro",41,67.9,4594,1,1341,3196,29354,887886,2878,1335,307,132
"72","Kisoro District","2022W40","Kigezi",51,87.2,6382,NA,170,1009,23628,324308,914,166,107,8
"73","Kitagwenda District","2022W40","Tooro",26,91.7,2424,NA,871,1754,9232,155163,1699,1118,203,36
"74","Kitgum District","2022W40","Acholi",43,72.2,6148,NA,4169,4683,133323,2002216,4392,3372,273,115
"75","Koboko District","2022W40","West Nile",25,90,4078,NA,1971,3567,30173,864236,3480,2041,48,23
"76","Kole District","2022W40","Lango",50,96.9,2941,NA,1584,2211,7631,537203,1502,1051,699,423
"77","Kotido District","2022W40","Karamoja",22,95.5,4502,NA,1865,3243,216674,1690970,3173,2139,57,29
"78","Kumi District","2022W40","Teso",35,100,7417,NA,2936,6160,296143,1909920,4692,2795,998,414
"79","Kwania District","2022W40","Lango",44,79.5,2645,NA,1083,1414,18890,25783,1312,912,74,64
"80","Kween District","2022W40","Bugisu",27,85.2,1791,NA,337,1021,4097,35076,904,311,14,7
"81","Kyankwanzi District","2022W40","North Central",32,100,1853,NA,631,2955,6929,164588,377,234,781,340
"82","Kyegegwa District","2022W40","Tooro",39,62.5,6797,NA,3076,3433,62347,1247388,3375,1960,70,36
"83","Kyenjojo District","2022W40","Tooro",54,74.5,3400,NA,1521,2627,13951,548082,1908,1153,708,400
"84","Kyotera District","2022W40","South Central",92,100,8345,NA,2145,3765,36065,573476,2850,1625,879,424
"85","Lamwo District","2022W40","Acholi",32,93.5,7233,1,4170,5998,21977,2000992,5054,3568,268,185
"86","Lira City","2022W40","Lango",42,100,3063,NA,786,1596,52930,541610,919,442,679,296
"87","Lira District","2022W40","Lango",16,100,1754,NA,650,922,NA,130868,138,93,848,556
"88","Luuka District","2022W40","Busoga",45,95.3,4220,NA,2793,4434,77378,814375,3921,2768,497,277
"89","Luwero District","2022W40","North Central",101,65.3,7961,NA,1612,5634,16843,3965939,1458,711,2154,849
"90","Lwengo District","2022W40","South Central",49,73.8,4312,NA,932,2170,9766,184803,1577,797,585,258
"91","Lyantonde District","2022W40","South Central",50,100,2783,NA,699,1545,16560,273135,1316,648,163,46
"92","Madi-Okollo District","2022W40","West Nile",19,89.5,4274,NA,2434,3689,68817,1364920,3620,2573,71,42
"93","Manafwa District","2022W40","Bugisu",13,83.3,1511,NA,785,763,1110,56160,294,181,446,301
"94","Maracha District","2022W40","West Nile",18,100,4501,NA,2401,3393,272277,1339116,3270,2395,143,67
"95","Masaka City","2022W40","South Central",43,67.9,2670,NA,279,770,13883,359732,561,226,209,42
"96","Masaka District","2022W40","South Central",20,100,1633,NA,313,738,6578,86231,417,199,315,114
"97","Masindi District","2022W40","Bunyoro",52,76.9,5888,NA,1064,2574,33619,1354439,2053,865,478,174
