"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"avv19jEKJvK","MOH - Uganda","Bunyoro","Hoima District","Kyabigambire Subcounty","Kisabagwa HC II","Kisabagwa HC II",418340,NA,2022,40,2964.6,82776.5,79811.9,1
"axKQfN9J4OH","MOH - Uganda","Busoga","Iganga District","Bulamagi Subcounty","Nawansinge HC II","Nawansinge HC II",971576,301,2022,10,3554.65,116607.55,113052.9,1
"aySqIA0RRpH","MOH - Uganda","Tooro","Bundibugyo District","Kaghema Town Council","Kisuba HC III","Kisuba HC III",412740,96,2022,37,535.5,133519.5,132984,1
"aznzYiSnKLj","MOH - Uganda","Lango","Kole District","Okwerodot Subcounty","Ayara HC II","Ayara HC II",271500,26,2022,1,1674,80934.0000000003,79260.0000000003,1
"b73ibKZriwG","MOH - Uganda","West Nile","Obongi District","Itula Subcounty","Belle HC III","Belle HC III",4141900,59,2022,17,166284,553896,387612,1
"b9niqLqoyqP","MOH - Uganda","Busoga","Kamuli District","Butansi Subcounty","Bugeywa HC II","Bugeywa HC II",55440,108,2022,40,60,7109.99999999999,7049.99999999999,1
"bNJSSr6ehbY","MOH - Uganda","Lango","Kwania District","Aduku Town Council","Premier Drugshop","Premier Drugshop",10200,20,2022,8,121.95,2251.2,2129.25,1
"bPlo2inHdcn","MOH - Uganda","West Nile","Yumbe District","Yumbe Town Council","Yumbe Medical Clinic","Yumbe Medical Clinic",2040,133,2022,22,568.8,1152,583.199999999996,1
"bQIMnhjAURl","MOH - Uganda","North Central","Kiboga District","Dwaniro Subcounty","Katalama HC II","Katalama HC II",622080,52,2022,22,25299,78660,53361,1
"c4QCM3YpqqE","MOH - Uganda","South Central","Lwengo District","Ndagwe Subcounty","Makondo HC II","Makondo HC II",68100,29,2022,47,38.2500000000001,25792.5,25754.25,1
"c9Fq5DlB3y5","MOH - Uganda","Kigezi","Kabale District","Katuna Town Council","Kamuganguzi HC III","Kamuganguzi HC III",29420,4,2022,50,3420,5760,2340,1
"cH31iXt96SZ","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Royal Hill Cross Clinic HC II","Royal Hill Cross Clinic HC II",48,NA,2022,41,2,18,16,1
"cQlhVgIOXko","MOH - Uganda","South Central","Kalungu District","Lukaya Town Council","Mukwano Medical Centre HC II","Mukwano Medical Centre HC II",2160,37,2022,32,39,756,717,1
"cStwSlODOpK","MOH - Uganda","Acholi","Gulu District","Paicho Subcounty","Kal Alii HC II","Kal Alii HC II",207000,47,2022,29,342,52776.0000000002,52434.0000000002,1
"ccY5TpGvBqo","MOH - Uganda","West Nile","Madi-Okollo District","Rhino Camp Town Council","Rhino Camp HC IV","Rhino Camp HC IV",770400,NA,2022,44,1110,253260,252150,1
"chZoz7gPbkz","MOH - Uganda","South Central","Lwengo District","Lwengo Town Council","St Paul Medical Centre HC II","St Paul Medical Centre HC II",37500,18,2022,37,30.7,14728.5,14697.8,1
