"district","year","week","total_rdt_stock","total_suspected","rdt_stock_weeks","rdt_stockout"
"Budaka District",2022,5,31333,2711,11.5577277757285,"Adequate stock"
"Budaka District",2022,6,17936,3610,4.96842105263158,"Understock"
"Budaka District",2022,7,19035,4746,4.01074589127686,"Understock"
"Budaka District",2022,8,14517,3392,4.27977594339623,"Understock"
"Budaka District",2022,9,75868,4341,17.4770790140521,"Adequate stock"
"Budaka District",2022,10,106655,7155,14.9063591893781,"Adequate stock"
"Budaka District",2022,11,132905,6907,19.2420732590126,"Adequate stock"
"Budaka District",2022,12,104739,4718,22.1998728274693,"Overstock"
"Budaka District",2022,13,77535,3906,19.8502304147465,"Adequate stock"
"Budaka District",2022,14,79444,2908,27.3191196698762,"Overstock"
"Budaka District",2022,15,88992,3649,24.3880515209646,"Overstock"
"Budaka District",2022,16,87941,2865,30.6949389179756,"Overstock"
"Budaka District",2022,17,74604,3182,23.4456316781898,"Overstock"
"Budaka District",2022,18,54880,3117,17.6066730830927,"Adequate stock"
"Budaka District",2022,19,84529,3537,23.8985015549901,"Overstock"
"Budaka District",2022,20,36279,2847,12.7428872497366,"Adequate stock"
"Budaka District",2022,21,38107,2686,14.1872673119881,"Adequate stock"
"Budaka District",2022,22,49712,3675,13.527074829932,"Adequate stock"
"Budaka District",2022,23,40061,4966,8.06705598066855,"Adequate stock"
"Budaka District",2022,24,96283,6762,14.2388346643005,"Adequate stock"
"Budaka District",2022,25,151884,5360,28.3365671641791,"Overstock"
"Budaka District",2022,26,185368,5567,33.2976468474942,"Overstock"
"Budaka District",2022,27,136626,6656,20.5267427884615,"Overstock"
"Budaka District",2022,28,150933,5213,28.9531939382313,"Overstock"
"Budaka District",2022,29,161815,4763,33.9733361326895,"Overstock"
"Budaka District",2022,30,160367,6500,24.6718461538462,"Overstock"
"Budaka District",2022,31,104030,4587,22.6793110965773,"Overstock"
"Budaka District",2022,32,78875,3896,20.2451232032854,"Overstock"
"Budaka District",2022,33,106935,4115,25.9866342648846,"Overstock"
"Budaka District",2022,34,94942,3840,24.7244791666667,"Overstock"
"Budaka District",2022,35,124624,5690,21.9022847100176,"Overstock"
"Budaka District",2022,36,106535,4600,23.1597826086957,"Overstock"
"Budaka District",2022,37,129913,5123,25.3587741557681,"Overstock"
"Budaka District",2022,38,104530,4644,22.5086132644272,"Overstock"
"Budaka District",2022,39,102726,5693,18.044264886703,"Adequate stock"
"Budaka District",2022,40,95289,5161,18.4632823096299,"Adequate stock"
"Budaka District",2022,41,119950,4889,24.5346696665985,"Overstock"
"Budaka District",2022,42,73620,3296,22.3361650485437,"Overstock"
"Budaka District",2022,43,70393,4554,15.4574000878349,"Adequate stock"
"Budaka District",2022,44,78027,4749,16.4301958307012,"Adequate stock"
"Budaka District",2022,45,70336,4224,16.6515151515152,"Adequate stock"
"Budaka District",2022,46,43660,2445,17.8568507157464,"Adequate stock"
"Budaka District",2022,47,80271,5872,13.6701294277929,"Adequate stock"
"Budaka District",2022,48,66551,5458,12.1932942469769,"Adequate stock"
"Budaka District",2022,49,68347,4268,16.0138238050609,"Adequate stock"
"Budaka District",2022,50,56158,3504,16.0268264840183,"Adequate stock"
"Budaka District",2022,51,52010,3024,17.1990740740741,"Adequate stock"
"Budaka District",2022,52,53703,3089,17.3852379410813,"Adequate stock"
"Bududa District",2022,1,87559,1338,65.4402092675635,"Overstock"
"Bududa District",2022,2,25600,1135,22.5550660792952,"Overstock"
"Bududa District",2022,3,23321,1169,19.9495295124038,"Adequate stock"
"Bududa District",2022,4,32705,1472,22.2180706521739,"Overstock"
"Bududa District",2022,5,19855,1227,16.1817440912795,"Adequate stock"
"Bududa District",2022,6,23064,1482,15.5627530364372,"Adequate stock"
"Bududa District",2022,7,13234,1360,9.73088235294118,"Adequate stock"
"Bududa District",2022,8,16350,1504,10.8710106382979,"Adequate stock"
"Bududa District",2022,9,31253,1601,19.5209244222361,"Adequate stock"
"Bududa District",2022,10,49334,1904,25.9107142857143,"Overstock"
"Bududa District",2022,11,48686,1842,26.4310532030402,"Overstock"
"Bududa District",2022,12,44666,1593,28.0389202762084,"Overstock"
"Bududa District",2022,13,39008,1611,24.2135319677219,"Overstock"
"Bududa District",2022,14,50192,1926,26.0602284527518,"Overstock"
"Bududa District",2022,15,47862,1767,27.0865874363328,"Overstock"
"Bududa District",2022,16,30618,2122,14.4288407163054,"Adequate stock"
"Bududa District",2022,17,31405,1890,16.6164021164021,"Adequate stock"
"Bududa District",2022,18,29651,1977,14.9979767324229,"Adequate stock"
"Bududa District",2022,19,28470,1981,14.3715295305401,"Adequate stock"
"Bududa District",2022,20,38393,1823,21.0603400987383,"Overstock"
"Bududa District",2022,21,34003,2339,14.5374091492091,"Adequate stock"
"Bududa District",2022,22,30979,2083,14.8722995679309,"Adequate stock"
"Bududa District",2022,23,27445,2197,12.4920345926263,"Adequate stock"
"Bududa District",2022,24,19381,1925,10.0680519480519,"Adequate stock"
"Bududa District",2022,25,16668,2144,7.77425373134328,"Understock"
"Bududa District",2022,26,30135,2082,14.4740634005764,"Adequate stock"
"Bududa District",2022,27,27939,1792,15.5909598214286,"Adequate stock"
"Bududa District",2022,28,25967,1975,13.1478481012658,"Adequate stock"
"Bududa District",2022,29,24975,1771,14.1022021456804,"Adequate stock"
"Bududa District",2022,30,20356,1819,11.1907641561297,"Adequate stock"
"Bududa District",2022,31,18494,1717,10.7711124053582,"Adequate stock"
"Bududa District",2022,32,15750,1613,9.76441413515189,"Adequate stock"
"Bududa District",2022,33,16161,1623,9.95748613678373,"Adequate stock"
"Bududa District",2022,34,17568,1799,9.76542523624236,"Adequate stock"
"Bududa District",2022,35,24192,1830,13.2196721311475,"Adequate stock"
"Bududa District",2022,36,21872,2594,8.43176561295297,"Adequate stock"
"Bududa District",2022,37,11024,2007,5.49277528649726,"Understock"
"Bududa District",2022,38,14996,1882,7.96811902231668,"Understock"
"Bududa District",2022,39,13360,1798,7.43047830923248,"Understock"
"Bududa District",2022,40,9853,1330,7.40827067669173,"Understock"
"Bududa District",2022,41,10343,1267,8.16337805840568,"Adequate stock"
"Bududa District",2022,42,8324,1080,7.70740740740741,"Understock"
