"district","year","week","total_cases"
"Kikuube District",2022,1,2753
"Kikuube District",2022,10,2288
"Kikuube District",2022,12,1029
"Kikuube District",2022,13,480
"Kikuube District",2022,14,710
"Kikuube District",2022,15,1913
"Kikuube District",2022,16,2452
"Kikuube District",2022,17,3690
"Kikuube District",2022,18,3915
"Kikuube District",2022,19,4581
"Kikuube District",2022,2,918
"Kikuube District",2022,25,3498
"Kikuube District",2022,26,4124
"Kikuube District",2022,27,3342
"Kikuube District",2022,28,2629
"Kikuube District",2022,29,3356
"Kikuube District",2022,3,1573
"Kikuube District",2022,30,2612
"Kikuube District",2022,31,2390
"Kikuube District",2022,32,2878
"Kikuube District",2022,33,2248
"Kikuube District",2022,34,2313
"Kikuube District",2022,35,2072
"Kikuube District",2022,36,1641
"Kikuube District",2022,38,2440
"Kikuube District",2022,39,1285
"Kikuube District",2022,4,1123
"Kikuube District",2022,40,1692
"Kikuube District",2022,41,3099
"Kikuube District",2022,42,1828
"Kikuube District",2022,43,1555
"Kikuube District",2022,44,3207
"Kikuube District",2022,45,1750
"Kikuube District",2022,46,2280
"Kikuube District",2022,47,1575
"Kikuube District",2022,48,2832
"Kikuube District",2022,49,1257
"Kikuube District",2022,5,1659
"Kikuube District",2022,50,1242
"Kikuube District",2022,51,765
"Kikuube District",2022,52,1303
"Kikuube District",2022,7,1888
"Kikuube District",2022,8,2856
"Kagadi District",2022,12,691
"Kagadi District",2022,15,507
"Kagadi District",2022,18,1737
"Kagadi District",2022,19,1302
"Kagadi District",2022,25,1748
"Kagadi District",2022,26,1397
"Kagadi District",2022,27,2311
"Kagadi District",2022,28,1632
"Kagadi District",2022,29,1804
"Kagadi District",2022,30,1349
"Kagadi District",2022,31,976
"Kagadi District",2022,32,292
"Kagadi District",2022,33,824
"Kagadi District",2022,34,819
"Kagadi District",2022,40,1455
"Kagadi District",2022,41,1446
"Kagadi District",2022,42,894
"Kagadi District",2022,43,1634
"Kagadi District",2022,44,731
"Kagadi District",2022,45,655
"Kagadi District",2022,48,262
"Kagadi District",2022,49,414
"Kagadi District",2022,5,1034
"Kagadi District",2022,50,249
"Kagadi District",2022,51,96
"Kagadi District",2022,6,1028
"Kagadi District",2022,7,1189
"Kagadi District",2022,8,1462
"Kyotera District",2022,1,4202
"Kyotera District",2022,10,1977
"Kyotera District",2022,11,1959
"Kyotera District",2022,12,2171
"Kyotera District",2022,13,2175
"Kyotera District",2022,14,2405
"Kyotera District",2022,15,2051
"Kyotera District",2022,16,2092
"Kyotera District",2022,17,2696
"Kyotera District",2022,18,3149
"Kyotera District",2022,19,3111
"Kyotera District",2022,2,3511
"Kyotera District",2022,20,3287
"Kyotera District",2022,21,3116
"Kyotera District",2022,22,2696
"Kyotera District",2022,23,3235
"Kyotera District",2022,24,3155
"Kyotera District",2022,25,3479
"Kyotera District",2022,26,3784
"Kyotera District",2022,27,3339
"Kyotera District",2022,28,2780
"Kyotera District",2022,29,2644
"Kyotera District",2022,3,3172
"Kyotera District",2022,30,2126
"Kyotera District",2022,31,1669
"Kyotera District",2022,32,1747
"Kyotera District",2022,33,1469
